Actors,Movies in the top 250
Wendell Corey,1
Wendy Crewson,1
Wes Bentley,1
Wesley Addy,1
Wil Wheaton,1
Wilford Brimley,1
Will Poulter,1
William Daniels,1
William H. Macy,1
Walter Huston,1
William Hickey,1
William Hurt,1
William Sadler,1
William Sylvester,1
Woody Allen,1
Woody Harrelson,1
Xolani Mali,1
Zach Grenier,1
Warren Clarke,1
Walter Connolly,1
Tony Roberts,1
Victor Argo,1
Tyler Perry,1
Tyrone Power,1
Uma Thurman,1
Val Kilmer,1
Valeria Golino,1
Valerie Hobson,1
Vernon Dobtcheff,1
Veronica Cartwright,1
Victor Buono,1
Wallace Ford,1
Victor Jory,1
Victoria Horne,1
Vince Edwards,1
Vincent D'Onofrio,1
Vincent Price,1
Vinnie Jones,1
Virginia Cherrill,1
Vivica A. Fox,1
Sean Lawlor,1
Sean Connery,1
Sean Bridgers,1
Ray Walston,1
Rachel McAdams,1
Raj Zutshi,1
Ralph Bellamy,1
Ralph Meeker,1
Katy Jurado,1
Ray Bolger,1
Ray LePere,1
Ray Liotta,1
Raymond Massey,1
Pruitt Taylor Vince,1
Rebecca Williams,1
Reginald Gardiner,1
Reginald VelJohnson,1
Rex Everhart,1
Rhonda Fleming,1
Richard Burton,1
Richard Dreyfuss,1
Richard Gere,1
R. Lee Ermey,1
Priyanka Bose,1
Scott Weinger,1
Peter Sellers,1
Perry Lopez,1
Peter Billingsley,1
Peter Boyle,1
Peter Brocco,1
Peter Cushing,1
Peter Finch,1
Peter Lorre,1
Peter O'Toole,1
Peter Stormare,1
Priscilla Lane,1
Philip King,1
Philip Seymour Hoffman,1
Phillip Terry,1
Phyllis Smith,1
Piper Laurie,1
Piper Perabo,1
Porter Hall,1
Powers Boothe,1
Richard Harris,1
Richard Kind,1
Richard Pyros,1
Sally Kirkland,1
Rutger Hauer,1
Ruth Hussey,1
Ruth Roman,1
Ruth Warrick,1
Ryan Gosling,1
Ryan O'Neal,1
Ryan Reynolds,1
Sally Field,1
Sam Berry,1
Richard S. Castellano,1
Sam Neill,1
Sandy Dennis,1
Sandy Nelson,1
Sarah Roemer,1
Saurabh Shukla,1
Scatman Crothers,1
Scott Glenn,1
Scott Schwartz,1
Roy Scheider,1
Roy Dotrice,1
Rowan Atkinson,1
Rosemary Murphy,1
Richard Widmark,1
Ricky Nelson,1
River Phoenix,1
Robby Benson,1
Robert Cummings,1
Robert Patrick,1
Robert Portal,1
Robert Ryan,1
Robert Sean Leonard,1
Robert Strauss,1
Robert Walker,1
Rod Steiger,1
Ronald Lacey,1
Rory Kinnear,1
Rosalind Russell,1
Rosamund Pike,1
Roscoe Karns,1
Keanu Reeves,1
Aaron Eckhart,1
Katie Holmes,1
Danny Lloyd,1
Cybill Shepherd,1
Dafne Keen,1
Daniel Brühl,1
Daniel Radcliffe,1
Daniel Richter,1
Daniel Zacapa,1
Danny Aiello,1
Danny Elfman,1
Darren McGavin,1
Craig Ferguson,1
Daryl Hannah,1
Daveigh Chase,1
David Aston,1
David Clennon,1
David Morse,1
David Rawle,1
David Strathairn,1
Dean Martin,1
Crispin Glover,1
Corey Feldman,1
Katharine Hepburn,1
Christine Hargreaves,1
Charles Laughton,1
Charley Grapewin,1
Charlize Theron,1
Chico Marx,1
Chiwetel Ejiofor,1
Chris Elliott,1
Chris Evans,1
Chris Penn,1
Christopher Carley,1
Connie Nielsen,1
Christopher Guest,1
Christopher Lloyd,1
Clarence Williams III,1
Clark Gable,1
Claudette Colbert,1
Clifton Webb,1
Coleen Gray,1
Colin Firth,1
Dean R. Brooks,1
Dean Stockwell,1
Debbie Reynolds,1
Edna Purviance,1
Dwight Yoakam,1
E.G. Marshall,1
Ed Harris,1
Ed Skrein,1
Ed Stoppard,1
Eddie Albert,1
Edith Evanson,1
Edmond O'Brien,1
Edward Arnold,1
Denholm Elliott,1
Edward Asner,1
Edward Burns,1
Edward Fox,1
Edward G. Robinson,1
Edward James Olmos,1
Eiza González,1
Eleanor David,1
Eli Roth,1
Dwight Henry,1
Douglas Dick,1
Dorothy Comingore,1
Donna Reed,1
Dennis Farina,1
Dennis Price,1
Derek Jacobi,1
Desmond Dube,1
Dev Patel,1
Devon Aoki,1
Dexter Fletcher,1
Diahnne Abbott,1
Dickie Gravois,1
Djimon Hounsou,1
Domhnall Gleeson,1
Don Cheadle,1
Don Gordon,1
Don Rickles,1
Don Taylor,1
Donald O'Connor,1
Donald Wiegert,1
Charles Durning,1
Celia Johnson,1
Celeste Holm,1
